"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","28","findsOrderBySku()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.tests.OrderTest","com.ust.sdet.tests.OrderTest","findsOrderBySku"
"","47","productDefect()","","2026-07-11","failed","2026-07-11","","com.ust.sdet.tests.OrderTest","com.ust.sdet.tests.OrderTest","productDefect"
"","60","countsOnlyShippedOrders()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.tests.OrderTest","com.ust.sdet.tests.OrderTest","countsOnlyShippedOrders"
"","41","countsOrders()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.tests.OrderTest","com.ust.sdet.tests.OrderTest","countsOrders"
"","30","failTest()","","2026-07-11","broken","2026-07-11","","com.ust.sdet.tests.OrderTest","com.ust.sdet.tests.OrderTest","failTest"
"","83","createsOrder()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.tests.OrderTest","com.ust.sdet.tests.OrderTest","createsOrder"
